Gene_ID,Num_Transcripts,Transcripts_IDs,Transcript_Lengths,Difference_Length,Longest_Transcript,Length
g_3105,1,['anno1.g3216.t1'],[484],0,anno1.g3216.t1,484
g_3106,1,['anno1.g3217.t1'],[460],0,anno1.g3217.t1,460
g_3107,1,['anno1.g3218.t1'],[154],0,anno1.g3218.t1,154
g_3108,1,['anno1.g3219.t1'],[230],0,anno1.g3219.t1,230
g_3109,1,['anno1.g3220.t1'],[351],0,anno1.g3220.t1,351
g_3110,1,['anno1.g3221.t1'],[340],0,anno1.g3221.t1,340
g_3111,1,['anno1.g3222.t1'],[332],0,anno1.g3222.t1,332
g_3113,2,"['anno1.g3224.t1', 'anno2.3783_t']","[251, 230]",21,anno1.g3224.t1,251
g_3114,3,"['anno1.g3225.t1', 'anno1.g3225.t2', 'anno2.MSTRG.5472.3']","[751, 528, 530]",223,anno1.g3225.t1,751
g_3115,1,['anno1.g3226.t1'],[1015],0,anno1.g3226.t1,1015
g_3118,1,['anno2.MSTRG.5486.1'],[444],0,anno2.MSTRG.5486.1,444
g_15562,1,['anno2.MSTRG.5487.1'],[230],0,anno2.MSTRG.5487.1,230
g_3119,1,['anno1.g3230.t1'],[165],0,anno1.g3230.t1,165
g_3120,1,['anno1.g3231.t1'],[357],0,anno1.g3231.t1,357
g_3121,1,['anno2.2929_t'],[204],0,anno2.2929_t,204
g_3122,1,['anno1.g3233.t1'],[583],0,anno1.g3233.t1,583
g_3123,1,['anno1.g3234.t1'],[159],0,anno1.g3234.t1,159
g_3126,1,['anno1.g3237.t1'],[103],0,anno1.g3237.t1,103
g_3127,1,['anno2.MSTRG.5503.1'],[523],0,anno2.MSTRG.5503.1,523
g_3128,1,['anno1.g3239.t1'],[236],0,anno1.g3239.t1,236
g_15827,1,['anno2.MSTRG.5512.1'],[140],0,anno2.MSTRG.5512.1,140
g_3129,1,['anno1.g3240.t1'],[244],0,anno1.g3240.t1,244
g_3130,2,"['anno1.g3241.t1', 'anno2.MSTRG.5521.3']","[456, 464]",8,anno2.MSTRG.5521.3,464
g_3131,1,['anno1.g3242.t1'],[380],0,anno1.g3242.t1,380
g_3132,1,['anno1.g3243.t1'],[324],0,anno1.g3243.t1,324
g_3133,1,['anno1.g3244.t1'],[421],0,anno1.g3244.t1,421
g_3134,1,['anno1.g3245.t1'],[155],0,anno1.g3245.t1,155
g_3135,1,['anno1.g3246.t1'],[80],0,anno1.g3246.t1,80
g_3136,2,"['anno1.g3247.t1', 'anno2.MSTRG.5529.2']","[712, 715]",3,anno2.MSTRG.5529.2,715
g_3137,1,['anno1.g3248.t1'],[298],0,anno1.g3248.t1,298
g_3138,1,['anno1.g3249.t1'],[424],0,anno1.g3249.t1,424
g_3139,1,['anno1.g3250.t1'],[494],0,anno1.g3250.t1,494
g_3140,1,['anno1.g3251.t1'],[236],0,anno1.g3251.t1,236
g_3141,2,"['anno1.g3252.t1', 'anno1.g3252.t2']","[607, 603]",4,anno1.g3252.t1,607
g_3142,1,['anno1.g3253.t1'],[317],0,anno1.g3253.t1,317
g_3144,1,['anno1.g3255.t1'],[334],0,anno1.g3255.t1,334
g_3145,1,['anno1.g3256.t1'],[140],0,anno1.g3256.t1,140
g_3147,1,['anno1.g3258.t1'],[160],0,anno1.g3258.t1,160
g_3148,1,['anno1.g3259.t1'],[1364],0,anno1.g3259.t1,1364
g_15387,1,['anno2.MSTRG.5539.1'],[362],0,anno2.MSTRG.5539.1,362
g_3150,1,['anno1.g3261.t1'],[629],0,anno1.g3261.t1,629
g_3151,1,['anno1.g3262.t1'],[270],0,anno1.g3262.t1,270
g_3152,1,['anno1.g3263.t1'],[300],0,anno1.g3263.t1,300
g_3153,1,['anno1.g3264.t1'],[2334],0,anno1.g3264.t1,2334
g_3154,1,['anno1.g3265.t1'],[273],0,anno1.g3265.t1,273
g_3155,1,['anno1.g3266.t1'],[104],0,anno1.g3266.t1,104
g_3156,1,['anno1.g3267.t1'],[78],0,anno1.g3267.t1,78
g_3158,2,"['anno1.g3269.t1', 'anno2.2151_t']","[525, 560]",35,anno2.2151_t,560
g_3159,1,['anno1.g3270.t1'],[163],0,anno1.g3270.t1,163
g_3160,2,"['anno1.g3271.t1', 'anno2.MSTRG.5553.1']","[1094, 1017]",77,anno1.g3271.t1,1094
g_3161,1,['anno1.g3272.t1'],[383],0,anno1.g3272.t1,383
g_3162,2,"['anno1.g3273.t1', 'anno2.MSTRG.5555.1']","[917, 948]",31,anno2.MSTRG.5555.1,948
g_3163,2,"['anno1.g3274.t1', 'anno2.MSTRG.5555.4']","[1214, 670]",544,anno1.g3274.t1,1214
g_3164,1,['anno1.g3275.t1'],[787],0,anno1.g3275.t1,787
g_3165,2,"['anno1.g3276.t1', 'anno1.g3276.t2']","[637, 634]",3,anno1.g3276.t1,637
g_3166,1,['anno1.g3277.t1'],[176],0,anno1.g3277.t1,176
g_3167,1,['anno1.g3278.t1'],[72],0,anno1.g3278.t1,72
g_3168,1,['anno1.g3279.t1'],[182],0,anno1.g3279.t1,182
g_3170,4,"['anno1.g3283.t1', 'anno1.g3283.t2', 'anno2.MSTRG.5571.1', 'anno2.MSTRG.5571.2']","[1090, 1061, 1024, 984]",106,anno1.g3283.t1,1090
g_3172,1,['anno1.g3284.t1'],[205],0,anno1.g3284.t1,205
g_3173,1,['anno1.g3285.t1'],[263],0,anno1.g3285.t1,263
g_3174,1,['anno1.g3286.t1'],[716],0,anno1.g3286.t1,716
g_3175,1,['anno1.g3287.t1'],[129],0,anno1.g3287.t1,129
g_3176,1,['anno1.g3288.t1'],[506],0,anno1.g3288.t1,506
g_3177,2,"['anno1.g3289.t1', 'anno2.MSTRG.5582.2']","[1571, 1687]",116,anno2.MSTRG.5582.2,1687
g_15409,1,['anno2.MSTRG.5583.1'],[348],0,anno2.MSTRG.5583.1,348
g_16208,1,['anno2.2392_t'],[229],0,anno2.2392_t,229
g_3179,2,"['anno1.g3291.t1', 'anno2.2394_t']","[186, 210]",24,anno2.2394_t,210
g_3180,1,['anno1.g3292.t1'],[388],0,anno1.g3292.t1,388
g_3181,1,['anno1.g3293.t1'],[426],0,anno1.g3293.t1,426
g_3182,1,['anno1.g3294.t1'],[550],0,anno1.g3294.t1,550
g_3183,1,['anno1.g3295.t1'],[384],0,anno1.g3295.t1,384
g_3184,1,['anno1.g3296.t1'],[705],0,anno1.g3296.t1,705
g_3185,2,"['anno1.g3297.t1', 'anno2.256_t']","[343, 335]",8,anno1.g3297.t1,343
g_3187,2,"['anno1.g3299.t1', 'anno2.MSTRG.5589.3']","[898, 937]",39,anno2.MSTRG.5589.3,937
g_3188,1,['anno2.3517_t'],[682],0,anno2.3517_t,682
g_3189,2,"['anno1.g3302.t1', 'anno2.MSTRG.5590.1']","[1916, 1956]",40,anno2.MSTRG.5590.1,1956
g_3190,1,['anno1.g3303.t1'],[82],0,anno1.g3303.t1,82
g_16069,1,['anno2.1421_t'],[158],0,anno2.1421_t,158
g_16070,1,['anno2.1422_t'],[158],0,anno2.1422_t,158
g_3191,2,"['anno1.g3304.t1', 'anno2.1424_t']","[512, 488]",24,anno1.g3304.t1,512
g_3192,2,"['anno1.g3305.t1', 'anno2.1425_t']","[515, 497]",18,anno1.g3305.t1,515
g_3193,1,['anno1.g3306.t1'],[376],0,anno1.g3306.t1,376
g_3194,1,['anno1.g3307.t1'],[177],0,anno1.g3307.t1,177
g_15700,1,['anno2.MSTRG.5593.1'],[61],0,anno2.MSTRG.5593.1,61
g_3195,1,['anno1.g3308.t1'],[239],0,anno1.g3308.t1,239
g_3196,1,['anno1.g3309.t1'],[300],0,anno1.g3309.t1,300
g_3197,1,['anno1.g3310.t1'],[252],0,anno1.g3310.t1,252
g_3198,1,['anno1.g3311.t1'],[199],0,anno1.g3311.t1,199
g_3199,1,['anno1.g3312.t1'],[140],0,anno1.g3312.t1,140
g_3200,1,['anno1.g3313.t1'],[344],0,anno1.g3313.t1,344
g_3201,4,"['anno1.g3314.t1', 'anno1.g3314.t2', 'anno1.g3314.t3', 'anno1.g3314.t4']","[235, 236, 232, 207]",29,anno1.g3314.t2,236
g_3202,1,['anno1.g3315.t1'],[656],0,anno1.g3315.t1,656
g_3203,2,"['anno1.g3316.t1', 'anno2.6164_t']","[334, 340]",6,anno2.6164_t,340
g_3204,3,"['anno1.g3317.t1', 'anno2.MSTRG.5599.2', 'anno2.MSTRG.5599.4']","[208, 204, 183]",25,anno1.g3317.t1,208
g_3205,3,"['anno1.g3318.t1', 'anno1.g3318.t3', 'anno2.MSTRG.5601.2']","[449, 1099, 800]",650,anno1.g3318.t3,1099
g_3206,1,['anno1.g3319.t1'],[227],0,anno1.g3319.t1,227
g_3207,1,['anno1.g3320.t1'],[1153],0,anno1.g3320.t1,1153
g_3208,1,['anno1.g3321.t1'],[285],0,anno1.g3321.t1,285
g_3209,1,['anno1.g3322.t1'],[355],0,anno1.g3322.t1,355
g_3210,1,['anno1.g3323.t1'],[392],0,anno1.g3323.t1,392
g_3211,1,['anno1.g3324.t1'],[361],0,anno1.g3324.t1,361
g_3212,1,['anno1.g3325.t1'],[674],0,anno1.g3325.t1,674
g_3213,1,['anno1.g3326.t1'],[667],0,anno1.g3326.t1,667
g_3214,1,['anno1.g3327.t1'],[134],0,anno1.g3327.t1,134
g_15583,1,['anno2.MSTRG.5606.1'],[111],0,anno2.MSTRG.5606.1,111
g_16343,1,['anno2.3290_t'],[120],0,anno2.3290_t,120
g_3215,1,['anno2.MSTRG.5609.2'],[430],0,anno2.MSTRG.5609.2,430
g_3216,2,"['anno1.g3329.t1', 'anno2.MSTRG.5610.1']","[76, 114]",38,anno2.MSTRG.5610.1,114
g_3217,1,['anno1.g3331.t1'],[586],0,anno1.g3331.t1,586
g_3218,1,['anno1.g3332.t1'],[300],0,anno1.g3332.t1,300
g_3219,1,['anno1.g3333.t1'],[193],0,anno1.g3333.t1,193
g_3221,1,['anno2.3891_t'],[533],0,anno2.3891_t,533
g_3223,1,['anno1.g3337.t1'],[463],0,anno1.g3337.t1,463
g_3224,2,"['anno1.g3338.t1', 'anno2.MSTRG.5627.1']","[309, 269]",40,anno1.g3338.t1,309
g_3225,1,['anno1.g3339.t1'],[660],0,anno1.g3339.t1,660
g_3226,1,['anno2.5061_t'],[672],0,anno2.5061_t,672
g_3227,1,['anno1.g3341.t1'],[412],0,anno1.g3341.t1,412
g_3228,1,['anno1.g3342.t1'],[503],0,anno1.g3342.t1,503
g_3229,2,"['anno1.g3346.t1', 'anno2.MSTRG.5635.1']","[472, 572]",100,anno2.MSTRG.5635.1,572
g_3230,3,"['anno1.g3344.t1', 'anno2.MSTRG.5636.2', 'anno2.MSTRG.5636.4']","[482, 462, 462]",20,anno1.g3344.t1,482
g_3231,1,['anno1.g3347.t1'],[1514],0,anno1.g3347.t1,1514
g_3232,1,['anno1.g3348.t1'],[206],0,anno1.g3348.t1,206
g_3233,1,['anno1.g3349.t1'],[423],0,anno1.g3349.t1,423
g_3234,1,['anno1.g3350.t1'],[515],0,anno1.g3350.t1,515
g_3235,1,['anno1.g3351.t1'],[1175],0,anno1.g3351.t1,1175
g_3236,2,"['anno1.g3352.t1', 'anno2.MSTRG.5654.1']","[991, 979]",12,anno1.g3352.t1,991
g_3237,1,['anno1.g3353.t1'],[263],0,anno1.g3353.t1,263
g_3238,2,"['anno1.g3354.t1', 'anno2.216_t']","[207, 137]",70,anno1.g3354.t1,207
g_3239,2,"['anno1.g3355.t1', 'anno2.MSTRG.5659.1']","[824, 875]",51,anno2.MSTRG.5659.1,875
g_3240,1,['anno1.g3356.t1'],[734],0,anno1.g3356.t1,734
g_15950,1,['anno2.544_t'],[1179],0,anno2.544_t,1179
g_15951,1,['anno2.545_t'],[80],0,anno2.545_t,80
g_3241,1,['anno2.MSTRG.5662.4'],[256],0,anno2.MSTRG.5662.4,256
g_3242,1,['anno1.g3358.t1'],[163],0,anno1.g3358.t1,163
g_3243,1,['anno1.g3359.t1'],[299],0,anno1.g3359.t1,299
g_3244,1,['anno1.g3360.t1'],[222],0,anno1.g3360.t1,222
g_3245,1,['anno1.g3361.t1'],[100],0,anno1.g3361.t1,100
g_3246,2,"['anno1.g3362.t1', 'anno2.MSTRG.5664.1']","[178, 573]",395,anno2.MSTRG.5664.1,573
g_3247,1,['anno1.g3363.t1'],[311],0,anno1.g3363.t1,311
g_3248,1,['anno2.1033_t'],[251],0,anno2.1033_t,251
g_16852,1,['anno2.1034_t'],[109],0,anno2.1034_t,109
g_3249,1,['anno1.g3365.t1'],[334],0,anno1.g3365.t1,334
g_3250,2,"['anno1.g3366.t1', 'anno2.MSTRG.5673.1']","[930, 313]",617,anno1.g3366.t1,930
g_3251,1,['anno2.2374_t'],[344],0,anno2.2374_t,344
g_3253,1,['anno1.g3369.t1'],[160],0,anno1.g3369.t1,160
g_3254,2,"['anno1.g3370.t1', 'anno2.2377_t']","[1364, 1307]",57,anno1.g3370.t1,1364
g_3255,1,['anno1.g3371.t1'],[173],0,anno1.g3371.t1,173
g_3256,1,['anno1.g3372.t1'],[197],0,anno1.g3372.t1,197
g_3257,1,['anno1.g3373.t1'],[400],0,anno1.g3373.t1,400
g_3258,1,['anno1.g3374.t1'],[512],0,anno1.g3374.t1,512
g_3260,1,['anno1.g3376.t1'],[214],0,anno1.g3376.t1,214
g_3261,4,"['anno1.g3377.t1', 'anno1.g3377.t2', 'anno2.MSTRG.5685.1', 'anno2.MSTRG.5685.2']","[368, 370, 463, 465]",97,anno2.MSTRG.5685.2,465
g_3263,1,['anno2.MSTRG.5687.1'],[690],0,anno2.MSTRG.5687.1,690
g_3265,1,['anno1.g3381.t1'],[276],0,anno1.g3381.t1,276
g_3266,1,['anno1.g3382.t1'],[184],0,anno1.g3382.t1,184
g_3267,1,['anno1.g3383.t1'],[318],0,anno1.g3383.t1,318
g_3268,1,['anno1.g3384.t1'],[854],0,anno1.g3384.t1,854
g_3269,2,"['anno1.g3385.t1', 'anno1.g3385.t2']","[66, 70]",4,anno1.g3385.t2,70
g_3270,1,['anno1.g3386.t1'],[189],0,anno1.g3386.t1,189
g_3271,2,"['anno1.g3387.t1', 'anno1.g3387.t2']","[304, 303]",1,anno1.g3387.t1,304
g_15822,1,['anno2.MSTRG.5699.4'],[357],0,anno2.MSTRG.5699.4,357
g_3273,1,['anno1.g3389.t1'],[832],0,anno1.g3389.t1,832
g_3274,1,['anno1.g3390.t1'],[421],0,anno1.g3390.t1,421
g_15829,1,['anno2.MSTRG.5709.2'],[613],0,anno2.MSTRG.5709.2,613
g_3275,1,['anno1.g3391.t1'],[193],0,anno1.g3391.t1,193
g_3276,1,['anno1.g3392.t1'],[290],0,anno1.g3392.t1,290
g_3277,1,['anno1.g3393.t1'],[116],0,anno1.g3393.t1,116
g_3278,2,"['anno1.g3394.t1', 'anno2.MSTRG.5713.1']","[358, 177]",181,anno1.g3394.t1,358
g_1,1,['anno1.g1.t1'],[647],0,anno1.g1.t1,647
g_2,1,['anno1.g2.t1'],[389],0,anno1.g2.t1,389
g_3,1,['anno1.g3.t1'],[120],0,anno1.g3.t1,120
g_16819,1,['anno1.g4.t1'],[175],0,anno1.g4.t1,175
g_16820,1,['anno1.g5.t2'],[325],0,anno1.g5.t2,325
g_4,1,['anno2.5666_t'],[208],0,anno2.5666_t,208
g_16702,1,['anno2.5667_t'],[95],0,anno2.5667_t,95
g_15404,1,['anno2.MSTRG.5720.1'],[282],0,anno2.MSTRG.5720.1,282
g_16328,1,['anno2.3229_t'],[28],0,anno2.3229_t,28
g_16329,1,['anno2.3230_t'],[127],0,anno2.3230_t,127
g_5,1,['anno1.g7.t1'],[174],0,anno1.g7.t1,174
g_6,1,['anno1.g8.t1'],[96],0,anno1.g8.t1,96
g_7,1,['anno1.g9.t1'],[565],0,anno1.g9.t1,565
g_8,6,"['anno1.g10.t1', 'anno1.g10.t2', 'anno1.g10.t3', 'anno1.g10.t4', 'anno2.MSTRG.5725.3', 'anno2.MSTRG.5725.7']","[1059, 882, 857, 826, 1034, 907]",233,anno1.g10.t1,1059
g_9,3,"['anno1.g11.t1', 'anno2.MSTRG.5727.2', 'anno2.MSTRG.5727.3']","[235, 219, 220]",16,anno1.g11.t1,235
g_10,6,"['anno1.g12.t1', 'anno1.g12.t2', 'anno1.g12.t3', 'anno1.g12.t4', 'anno2.MSTRG.5731.3', 'anno2.MSTRG.5731.4']","[1597, 1594, 1598, 1644, 1854, 1611]",260,anno2.MSTRG.5731.3,1854
g_15780,1,['anno2.MSTRG.5733.3'],[251],0,anno2.MSTRG.5733.3,251
g_11,1,['anno1.g13.t1'],[308],0,anno1.g13.t1,308
g_12,1,['anno1.g14.t1'],[330],0,anno1.g14.t1,330
g_13,1,['anno1.g15.t1'],[777],0,anno1.g15.t1,777
g_14,1,['anno1.g16.t1'],[219],0,anno1.g16.t1,219
g_15,1,['anno1.g17.t1'],[362],0,anno1.g17.t1,362
g_16,1,['anno1.g18.t1'],[304],0,anno1.g18.t1,304
g_17,1,['anno1.g19.t1'],[489],0,anno1.g19.t1,489
g_18,1,['anno1.g20.t1'],[3104],0,anno1.g20.t1,3104
g_19,1,['anno1.g21.t1'],[347],0,anno1.g21.t1,347
g_20,1,['anno1.g22.t1'],[1023],0,anno1.g22.t1,1023
g_21,1,['anno1.g23.t1'],[699],0,anno1.g23.t1,699
g_22,1,['anno2.MSTRG.5761.1'],[947],0,anno2.MSTRG.5761.1,947
g_16821,1,['anno2.MSTRG.5762.1'],[384],0,anno2.MSTRG.5762.1,384
g_23,1,['anno1.g25.t1'],[528],0,anno1.g25.t1,528
g_25,1,['anno1.g27.t1'],[419],0,anno1.g27.t1,419
g_26,1,['anno1.g28.t1'],[437],0,anno1.g28.t1,437
g_27,4,"['anno1.g29.t1', 'anno1.g29.t2', 'anno2.MSTRG.5771.1', 'anno2.MSTRG.5771.7']","[1445, 1220, 1446, 1438]",226,anno2.MSTRG.5771.1,1446
g_28,1,['anno1.g30.t1'],[175],0,anno1.g30.t1,175
g_29,1,['anno2.MSTRG.5772.1'],[254],0,anno2.MSTRG.5772.1,254
g_32,6,"['anno1.g34.t1', 'anno1.g34.t2', 'anno1.g34.t3', 'anno1.g34.t4', 'anno2.MSTRG.5778.2', 'anno2.MSTRG.5778.4']","[1140, 1140, 1144, 1170, 1052, 1062]",118,anno1.g34.t4,1170
g_33,1,['anno1.g35.t1'],[602],0,anno1.g35.t1,602
g_34,2,"['anno1.g36.t1', 'anno2.6421_t']","[2708, 2675]",33,anno1.g36.t1,2708
g_35,2,"['anno1.g37.t1', 'anno2.MSTRG.5783.1']","[425, 416]",9,anno1.g37.t1,425
g_37,1,['anno1.g39.t1'],[127],0,anno1.g39.t1,127
g_38,1,['anno1.g40.t1'],[215],0,anno1.g40.t1,215
g_39,1,['anno2.5755_t'],[355],0,anno2.5755_t,355
g_41,2,"['anno1.g43.t1', 'anno1.g43.t2']","[252, 196]",56,anno1.g43.t1,252
g_42,1,['anno1.g44.t1'],[603],0,anno1.g44.t1,603
g_43,3,"['anno1.g45.t1', 'anno1.g45.t2', 'anno2.MSTRG.5793.2']","[370, 366, 365]",5,anno1.g45.t1,370
g_44,3,"['anno1.g46.t2', 'anno1.g46.t3', 'anno2.MSTRG.5796.2']","[378, 380, 376]",4,anno1.g46.t3,380
g_45,1,['anno1.g47.t1'],[532],0,anno1.g47.t1,532
g_15762,1,['anno2.MSTRG.5799.1'],[559],0,anno2.MSTRG.5799.1,559
g_16126,1,['anno2.1724_t'],[14],0,anno2.1724_t,14
g_48,1,['anno1.g50.t1'],[69],0,anno1.g50.t1,69
g_49,1,['anno1.g51.t1'],[1155],0,anno1.g51.t1,1155
g_50,1,['anno1.g53.t1'],[357],0,anno1.g53.t1,357
g_51,1,['anno1.g54.t1'],[358],0,anno1.g54.t1,358
g_53,2,"['anno1.g56.t1', 'anno1.g56.t2']","[994, 985]",9,anno1.g56.t1,994
g_54,1,['anno1.g57.t1'],[395],0,anno1.g57.t1,395
g_55,1,['anno1.g58.t1'],[286],0,anno1.g58.t1,286
g_56,1,['anno1.g59.t1'],[146],0,anno1.g59.t1,146
g_57,2,"['anno1.g60.t1', 'anno2.MSTRG.5833.1']","[287, 325]",38,anno2.MSTRG.5833.1,325
g_58,1,['anno1.g61.t1'],[82],0,anno1.g61.t1,82
g_60,1,['anno1.g63.t1'],[519],0,anno1.g63.t1,519
g_61,1,['anno1.g64.t1'],[274],0,anno1.g64.t1,274
g_62,2,"['anno1.g65.t1', 'anno1.g65.t2']","[351, 343]",8,anno1.g65.t1,351
g_64,2,"['anno1.g67.t1', 'anno2.MSTRG.5840.1']","[393, 142]",251,anno1.g67.t1,393
g_65,1,['anno1.g68.t1'],[1832],0,anno1.g68.t1,1832
g_16822,1,['anno1.g69.t1'],[94],0,anno1.g69.t1,94
g_66,1,['anno1.g70.t1'],[411],0,anno1.g70.t1,411
g_67,1,['anno1.g71.t1'],[275],0,anno1.g71.t1,275
g_68,2,"['anno1.g72.t1', 'anno2.5236_t']","[85, 115]",30,anno2.5236_t,115
g_69,1,['anno2.5237_t'],[419],0,anno2.5237_t,419
g_70,1,['anno1.g74.t1'],[455],0,anno1.g74.t1,455
g_71,2,"['anno1.g75.t1', 'anno2.5239_t']","[851, 858]",7,anno2.5239_t,858
g_72,1,['anno1.g76.t1'],[88],0,anno1.g76.t1,88
g_73,2,"['anno1.g77.t1', 'anno2.1364_t']","[271, 270]",1,anno1.g77.t1,271
g_74,2,"['anno1.g78.t1', 'anno2.953_t']","[1499, 1119]",380,anno1.g78.t1,1499
g_75,6,"['anno1.g79.t1', 'anno1.g79.t2', 'anno2.MSTRG.5857.1', 'anno2.MSTRG.5857.13', 'anno2.MSTRG.5857.4', 'anno2.MSTRG.5857.9']","[656, 653, 657, 607, 660, 604]",56,anno2.MSTRG.5857.4,660
g_76,1,['anno2.5980_t'],[431],0,anno2.5980_t,431
g_78,1,['anno1.g83.t1'],[218],0,anno1.g83.t1,218
g_79,1,['anno1.g84.t1'],[711],0,anno1.g84.t1,711
g_15509,1,['anno2.MSTRG.5862.1'],[62],0,anno2.MSTRG.5862.1,62
g_80,1,['anno2.MSTRG.5863.1'],[203],0,anno2.MSTRG.5863.1,203
g_16823,1,['anno2.5898_t'],[185],0,anno2.5898_t,185
g_81,2,"['anno1.g86.t1', 'anno2.MSTRG.5866.1']","[231, 235]",4,anno2.MSTRG.5866.1,235
g_82,2,"['anno1.g87.t1', 'anno2.MSTRG.5868.2']","[325, 290]",35,anno1.g87.t1,325
g_83,3,"['anno1.g88.t1', 'anno2.MSTRG.5869.1', 'anno2.MSTRG.5869.2']","[2726, 2790, 2783]",64,anno2.MSTRG.5869.1,2790
g_84,1,['anno1.g89.t1'],[306],0,anno1.g89.t1,306
g_85,1,['anno1.g90.t1'],[577],0,anno1.g90.t1,577
g_86,2,"['anno1.g91.t1', 'anno2.3674_t']","[937, 914]",23,anno1.g91.t1,937
g_87,1,['anno1.g92.t1'],[181],0,anno1.g92.t1,181
g_88,1,['anno1.g93.t1'],[820],0,anno1.g93.t1,820
g_89,2,"['anno1.g94.t1', 'anno2.3851_t']","[136, 158]",22,anno2.3851_t,158
g_90,2,"['anno1.g95.t1', 'anno2.3852_t']","[477, 480]",3,anno2.3852_t,480
g_91,1,['anno1.g96.t1'],[589],0,anno1.g96.t1,589
g_92,1,['anno1.g97.t1'],[221],0,anno1.g97.t1,221
g_93,2,"['anno1.g98.t1', 'anno1.g98.t2']","[192, 206]",14,anno1.g98.t2,206
g_95,1,['anno1.g100.t1'],[509],0,anno1.g100.t1,509
g_96,3,"['anno1.g101.t1', 'anno1.g101.t2', 'anno1.g101.t3']","[1209, 1175, 1150]",59,anno1.g101.t1,1209
g_97,2,"['anno1.g102.t1', 'anno1.g102.t2']","[718, 727]",9,anno1.g102.t2,727
g_98,4,"['anno1.g103.t1', 'anno1.g103.t2', 'anno1.g103.t3', 'anno2.5541_t']","[657, 648, 693, 714]",66,anno2.5541_t,714
g_99,1,['anno1.g104.t1'],[199],0,anno1.g104.t1,199
g_100,1,['anno1.g105.t1'],[254],0,anno1.g105.t1,254
g_101,1,['anno1.g106.t1'],[203],0,anno1.g106.t1,203
g_102,1,['anno1.g107.t1'],[587],0,anno1.g107.t1,587
g_103,1,['anno1.g108.t1'],[379],0,anno1.g108.t1,379
g_104,2,"['anno1.g109.t1', 'anno1.g109.t2']","[492, 493]",1,anno1.g109.t2,493
g_105,2,"['anno1.g110.t1', 'anno1.g110.t2']","[527, 758]",231,anno1.g110.t2,758
g_106,1,['anno1.g111.t1'],[440],0,anno1.g111.t1,440
g_107,1,['anno1.g112.t1'],[330],0,anno1.g112.t1,330
g_108,1,['anno1.g113.t1'],[179],0,anno1.g113.t1,179
g_16621,1,['anno2.5029_t'],[118],0,anno2.5029_t,118
g_15468,1,['anno2.MSTRG.5907.1'],[435],0,anno2.MSTRG.5907.1,435
g_109,2,"['anno1.g114.t1', 'anno2.MSTRG.5908.2']","[508, 469]",39,anno1.g114.t1,508
g_110,1,['anno1.g115.t1'],[380],0,anno1.g115.t1,380
g_111,2,"['anno1.g116.t1', 'anno1.g116.t2']","[250, 219]",31,anno1.g116.t1,250
g_112,1,['anno1.g117.t1'],[316],0,anno1.g117.t1,316
g_113,1,['anno1.g118.t1'],[525],0,anno1.g118.t1,525
g_114,2,"['anno1.g119.t1', 'anno2.MSTRG.5914.1']","[801, 796]",5,anno1.g119.t1,801
g_115,1,['anno1.g120.t1'],[144],0,anno1.g120.t1,144
g_117,1,['anno1.g122.t1'],[250],0,anno1.g122.t1,250
g_118,2,"['anno1.g123.t2', 'anno2.4374_t']","[626, 616]",10,anno1.g123.t2,626
g_119,2,"['anno1.g124.t1', 'anno2.4375_t']","[154, 53]",101,anno1.g124.t1,154
g_120,1,['anno1.g125.t1'],[173],0,anno1.g125.t1,173
g_121,1,['anno1.g126.t1'],[1364],0,anno1.g126.t1,1364
g_122,1,['anno1.g127.t1'],[160],0,anno1.g127.t1,160
g_123,1,['anno1.g128.t2'],[74],0,anno1.g128.t2,74
g_124,1,['anno1.g129.t1'],[352],0,anno1.g129.t1,352
g_125,2,"['anno1.g130.t1', 'anno2.959_t']","[334, 387]",53,anno2.959_t,387
g_126,1,['anno1.g131.t1'],[109],0,anno1.g131.t1,109
g_127,1,['anno1.g132.t1'],[258],0,anno1.g132.t1,258
g_16009,1,['anno2.961_t'],[117],0,anno2.961_t,117
g_128,1,['anno1.g133.t1'],[113],0,anno1.g133.t1,113
g_129,1,['anno1.g133.t2'],[611],0,anno1.g133.t2,611
g_130,4,"['anno1.g134.t1', 'anno1.g134.t2', 'anno1.g134.t3', 'anno2.MSTRG.5926.3']","[199, 192, 172, 165]",34,anno1.g134.t1,199
g_131,1,['anno1.g135.t1'],[129],0,anno1.g135.t1,129
g_132,1,['anno1.g136.t1'],[127],0,anno1.g136.t1,127
g_133,1,['anno1.g137.t1'],[139],0,anno1.g137.t1,139
g_134,1,['anno1.g138.t1'],[439],0,anno1.g138.t1,439
g_135,1,['anno2.3360_t'],[400],0,anno2.3360_t,400
g_136,1,['anno1.g140.t1'],[478],0,anno1.g140.t1,478
g_137,1,['anno1.g141.t1'],[1322],0,anno1.g141.t1,1322
g_138,2,"['anno1.g142.t1', 'anno2.MSTRG.5945.2']","[313, 288]",25,anno1.g142.t1,313
g_16722,1,['anno2.5799_t'],[201],0,anno2.5799_t,201
g_142,2,"['anno1.g146.t1', 'anno2.MSTRG.5947.3']","[764, 780]",16,anno2.MSTRG.5947.3,780
g_140,1,['anno1.g144.t1'],[176],0,anno1.g144.t1,176
g_141,2,"['anno1.g145.t1', 'anno1.g145.t2']","[633, 847]",214,anno1.g145.t2,847
g_143,1,['anno1.g147.t1'],[192],0,anno1.g147.t1,192
